point_id,valley,X,Y,data_type,verific_day,outcome,offset,offset_req,elevation,rel_elev,dist_sewer,dist_pri_sewer,dist_trash,lc_10m_veg,lc_10m_soil,lc_10m_imperv,lc_30m_veg,lc_30m_soil,lc_30m_imperv,lc_pablo_10m_veg,lc_pablo_10m_soil,lc_pablo_10m_imperv,lc_pablo_30m_veg,lc_pablo_30m_soil,lc_pablo_30m_imperv
416,4,560979.2,8571419,faeces,1,0,1,0,47.06685257,23.066852570000002,6.939100826,46.31066446,34.115598490000004,0.081081081,0.27027027,0.648648649,0.231534091,0.335227273,0.433238636,0.304517134,0.008566978,0.686915888,0.289412172,0.097913601,0.612674227
449,4,560752.4,8571440,faeces,1,1,1,0,46.56126022,22.56126022,19.34302805,19.34302805,136.5208956,0.0875,0.275,0.6375,0.14084507,0.3,0.55915493,0.191887676,0.026521061,0.781591264,0.236532132,0.09553092,0.667936948
453,4,560995.4,8571497,faeces,1,0,1,0,35,11,15.56490213,15.56490213,39.66330868,0.907894737,0.078947368,0.013157895,0.474285714,0.424285714,0.101428571,0.723004695,0.113458529,0.163536776,0.621361746,0.227823978,0.150814276
455,4,560961.8,8571407,faeces,1,0,1,0,45.57251358,21.57251358,6.830572736,48.27565885,37.99977288,0.223684211,0.381578947,0.394736842,0.280626781,0.368945869,0.35042735,0.43515625,0.096875,0.46796875,0.342862093,0.108281358,0.548856549
478,4,560947.3,8571427,faeces,1,0,1,0,39.28828812,15.288288119999997,1.40404232,23.62386663,13.21218823,0.671052632,0.276315789,0.052631579,0.423295455,0.321022727,0.255681818,0.568093385,0.045914397,0.385992218,0.450740837,0.165236981,0.384022182
479,4,560943.5,8571404,faeces,1,1,1,0,46.16773987,22.16773987,10.40313882,46.58762132,31.99211391,0.2125,0.3875,0.4,0.287323944,0.366197183,0.346478873,0.227769111,0.330733229,0.44149766,0.432394976,0.111563447,0.456041576
484,4,560855.8,8571386,faeces,1,0,1,0,40,16,8.494588302,28.92794715,56.22431904,0.564102564,0.115384615,0.320512821,0.494366197,0.216901408,0.288732394,0.484801247,0.014809041,0.500389712,0.592480291,0.026856103,0.380663606
159,4,561427.7,8570971,trails,1,0,1,0,46.57165146,22.571651459999998,31.85384543,47.43882327,131.4628951,0,0,1,0.075284091,0.03125,0.893465909,0.046765394,0,0.953234606,0.17839196,0.023739387,0.797868654
184,4,561454.3,8570928,trails,1,1,1,0,30,6,15.16179435,15.16179435,129.4575436,0.730769231,0.153846154,0.115384615,0.330508475,0.259887006,0.40960452,0.63014763,0,0.36985237,0.399030135,0.054728091,0.546241773
189,4,561465.4,8570886,trails,1,0,1,0,30,6,2.488836505,2.488836505,87.74865082,0.320512821,0.564102564,0.115384615,0.320621469,0.29519774,0.384180791,0.116459627,0.083074534,0.800465839,0.408264033,0.088704089,0.503031878
